id,value
psychology,11
linguistic,39
form,50
lee,3
osterhout,6
richard,2
wright,1
mark,4
d,13
allen,5
appear,3
cambridge,15
encyclopedia,1
language,67
sciences,4
humans,1
can,15
generate,3
comprehend,1
stunning,1
variety,5
conceptual,8
messages,3
ranging,2
sophisticated,3
types,6
mental,7
representations,23
such,30
ideas,1
intentions,1
propositions,1
more,18
primal,1
satisfy,1
demands,2
immediate,2
environment,1
salutations,1
warnings,1
order,5
these,41
transmitted,1
received,2
must,10
put,2
physical,4
sound,22
wave,3
visual,5
marking,1
noted,1
swiss,1
linguist,1
de,4
saussure,2
2002,6
relationship,6
between,16
concepts,5
manifestations,2
almost,2
always,2
arbitrary,3
words,47
cat,11
sat,2
mat,2
quite,3
similar,3
terms,9
how,14
very,3
dissimilar,1
meaning,43
one,29
would,10
expect,1
otherwise,2
if,11
principled,1
instead,9
although,5
highly,11
systematic,4
example,24
changing,2
phoneme,6
word,54
predictably,1
changes,1
human,11
perhaps,3
unique,2
complexity,1
forms,21
implication,2
system,12
underlying,5
compositional,3
every,1
sentence,53
made,5
up,5
smaller,4
units,41
have,28
been,7
combined,5
constrained,2
ways,4
standard,3
view,10
chomsky,6
1965,3
pinker,2
1999,9
rules,6
combination,6
exist,4
levels,10
phonemes,7
phonology,4
morphemes,10
morphology,4
sentences,22
phrases,1
syntax,15
collectively,2
comprise,3
grammar,2
defines,1
permissible,1
systematically,2
related,8
distinct,14
semantics,9
theories,13
based,10
description,3
observation,2
therefore,9
uncertain,2
relation,1
psychological,5
underpinnings,1
researchers,12
interested,1
describing,1
psychologically,2
relevant,6
aspects,6
require,2
their,11
own,2
methods,3
evidence,27
furthermore,1
not,17
only,3
describe,1
processes,7
assemble,1
during,10
production,24
disassemble,1
them,5
comprehension,19
should,4
explain,1
associated,10
speaker’s,2
hearer’s,1
semantic,38
contextual,2
knowledge,14
here,6
we,11
review,8
some,19
what,7
learned,1
about,16
pertains,1
sounds,23
since,1
advent,3
speech,64
research,15
most,19
intensively,1
pursued,1
topics,1
science,7
search,1
fundamental,8
many,12
found,2
phonological,22
abstract,20
i,2
e,30
generalizations,2
across,5
any,3
number,4
heard,2
utterances,4
rather,7
than,8
memories,3
specific,12
componential,3
constituent,1
elements,3
operate,1
part,3
combinatorial,2
there,14
other,15
less,1
may,9
stored,9
whole,7
result,5
two,11
competing,1
hypotheses,1
emerged,1
vs,2
holistic,4
widespread,1
posits,3
typically,4
relate,3
either,3
versions,1
articulatory,17
gestures,4
used,6
produce,8
liberman,8
mattingly,3
1985,7
browman,4
goldstein,4
1990,7
ones,2
derived,3
descriptive,2
theory,10
feature,7
see,8
analysis,12
sub,2
phonemic,1
unit,5
contrast,7
lexical,37
consonant,5
vowel,6
phone,2
allophone,2
surface,5
variants,3
syllable,5
timing,1
flanking,1
consonants,6
prosodic,2
rhythmic,1
structure,27
relates,2
patterns,4
emphasized,1
syllables,2
various,6
structures,6
tone,1
lexically,2
contrastive,3
use,5
voice’s,1
pitch,2
intonation,1
tune,1
reviews,2
frazier,5
1995,10
studdert,2
kennedy,2
1980,4
basic,5
while,9
considered,2
epiphenomenal,1
g,31
goldinger,5
pisoni,4
logan,2
1991,2
instance,4
memory,13
traces,2
particular,16
spoken,11
often,3
referred,1
episodes,1
proponents,3
point,3
out,4
convenient,1
transparently,2
segment,1
writing,3
systems,5
those,9
alphabet,5
listeners,4
draw,2
detailed,3
word’s,1
pronunciation,4
making,2
decisions,1
azuma,3
2003,7
nygaard,2
proposed,8
hybrid,2
models,25
which,45
layers,1
